Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Human Resources (HR),DevTown,Work from home,Starts immediatelyImmediately,1 Month,"₹ 4,000 - 5,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Abhinav  Anand,Work from home,Starts immediatelyImmediately,2 Months,"₹ 6,000 - 6,002 /month",16 May' 25,Business Development,N/A
Marketing,Bezt Labs,Work from home,Starts immediatelyImmediately,3 Months,"₹ 18,000 - 3,15,000 /month",16 May' 25,"Effective Communication, Interpersonal skills, Certificate, Letter of recommendation, Flexible work hours",N/A
Interior Styling,Writings On The Wall,"Delhi, Gurgaon                                                    (Hybrid)",Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"English Proficiency (Spoken), Interior design, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Graphic Design,Finqy,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Certificate, Informal dress code",N/A
Product Management,Digital Guruji,Delhi,Starts immediatelyImmediately,6 Months,"₹ 15,000 /month",16 May' 25,"English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours",N/A
Social Media Marketing,Bombay Wedding Company,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 5,000 - 8,000 /month",16 May' 25,"Graphic Design, Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Content Writing,Studiovity Pvt Ltd,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 8,000 /month",17 May' 25,"Business Research, Content Writing, Creative Writing, English Proficiency (Written), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Graphic Design,Insure Pro 2.0,Chennai,Starts immediatelyImmediately,2 Months,"₹ 10,000 /month",16 May' 25,"Adobe Photoshop, Canva, Video Editing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Digital Marketing,Digital Guruji,Delhi,Starts immediatelyImmediately,6 Months,"₹ 15,000 /month",16 May' 25,"English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours",N/A
Reservation & Operations,ILIF HOTELS AND RESORTS,Navi Mumbai,Starts immediatelyImmediately,6 Months,"₹ 7,500 - 26,000 /month",16 May' 25,"Effective Communication, Interpersonal skills, MS-Excel, Certificate",N/A
Front End Development,Infinity Plus 1,"Mumbai, Navi Mumbai, Kurla",Starts immediatelyImmediately,6 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Bootstrap, CSS, HTML, JavaScript, Certificate, Informal dress code",N/A
Operations,UnHR,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",16 May' 25,"Mechanical & Electrical Product Design, Operations, Certificate",N/A
Flutter Development,Adstacks Media,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 11,000 - 12,000 /month",16 May' 25,"Android, Dart, Firebase, Flutter, iOS, REST API, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Sales,Wilyfox Media Co,Bhubaneswar,Starts immediatelyImmediately,3 Months,"₹ 7,000 - 17,000 /month",16 May' 25,"Client Relationship, Client Relationship Management (CRM), Effective Communication, Interpersonal skills, Negotiations, Prospecting, Research and Analytics, Sales, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Operations - Outreach And Data Collection,InfyBytes AI Labs Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",16 May' 25,"Effective Communication, Marketing Campaigns, Research and Analytics, Certificate, Letter of recommendation, Flexible work hours",N/A
Video Editing/Making,Rohan Trehan,Work from home,Starts immediatelyImmediately,6 Months,"₹ 8,000 /month",16 May' 25,"Adobe Premiere Pro, Video Editing, Certificate",N/A
Copywriting,Arcatron Mobility Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 20,000 - 25,000 /month",16 May' 25,"Copywriting, Creative Writing, English Proficiency (Written), Search Engine Optimization (SEO), Social Media Marketing",N/A
Interior Design,Kirtee And Assoc,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 9,000 - 20,000 /month",16 May' 25,"Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Blender 3D, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Rhino, Certificate, Letter of recommendation, Informal dress code",N/A
Business Development (Sales),Siddhant Gupta,Delhi                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 3,000 - 7,000 /month",16 May' 25,"Digital Marketing, Email Marketing, MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Social Media Marketing,Hero Enterprise,Ludhiana,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Creative Writing, Event Management, News Writing, Social Media Marketing, Web development, Certificate",N/A
Graphic Design,GrowMeOrganic Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Canva, Figma, UI & UX Design, Video Editing, Certificate, Flexible work hours, 5 days a week",N/A
Recruitment,ToothSi (Ampa Orthodontics Private Limited),Mumbai,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 20,000 /month",16 May' 25,"English Proficiency (Spoken), MS-Excel, Recruitment",N/A
Sales,DeoDap International Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",16 May' 25,Sales,N/A
Recruitment Consulting,The Recruiters,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Effective Communication, Interpersonal skills, MS-Excel, MS-Office, MS-Word, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Fashion Design,House Of Rohit Doshi,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 8,001 - 10,002 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Fashion Designing, Certificate, Letter of recommendation",N/A
English Trainer,Kshitiksha Foundation                                  NGO,Work from home,Starts immediatelyImmediately,1 Month,Unpaid,16 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours",N/A
Hotel Management(Chef),Cafe Tesu,Delhi,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Culinary Arts, Certificate, Letter of recommendation, 5 days a week, Free snacks & beverages",N/A
Video Editing + Motion Graphics,"Vex Digital Group (Melbourne City, Australia)",Work from home,Starts immediatelyImmediately,3 Months,"₹ 17,000 - 23,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Audio Editing, Blender 3D, DaVinci Resolve, English Proficiency (Spoken), English Proficiency (Written), Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Digital Marketing,Fleeca India Private Limited,Jaipur,Starts immediatelyImmediately,6 Months,"₹ 6,000 - 10,000 /month",16 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Informal dress code",N/A
Customer Service/Customer Support,Egreen Farms Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 15,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Typing",N/A
Video Editing/Making,Cafe Tesu,Delhi,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Adobe After Effects, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, 5 days a week, Free snacks & beverages, Job offer",N/A
Product Design (AutoCAD),Skillmission Welfare Society                                  NGO,Bhopal,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 2,001 /month",16 May' 25,"AutoCAD, Catia, SolidWorks, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Summer Intern- Sales,PadCare Labs,Pune,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",16 May' 25,"Data Analysis, Effective Communication, MS-Excel, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
Civil/Mechanical Draftsmen (Design And Build),Morphdhome Solpro Private Limited,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",16 May' 25,"AutoCAD, Autodesk 123D design, Autodesk Revit, Blender 3D, Design Thinking, Google SketchUp, SolidWorks, Certificate, Flexible work hours, Informal dress code, Job offer",N/A
Aptitude Teaching,Budding Mariners,Work from home,Starts immediatelyImmediately,2 Months,"₹ 2,500 - 3,000 lump sum",16 May' 25,"Canva, English Proficiency (Spoken), English Proficiency (Written), Online Teaching, Subject Matter Expert (SME), Certificate, Letter of recommendation, Flexible work hours",N/A
Telecalling,Innovative Concepts,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 7,000 - 10,000 /month",16 May' 25,"Customer Support, Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Lead Generation, MS-Excel, Teamwork, Certificate, Letter of recommendation, 5 days a week",N/A
Human Resources (HR),INI Farms,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 12,001 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, Certificate, Informal dress code, 5 days a week",N/A
Human Resources (HR),Crazy For Success Foundation                                  NGO,Pune,Starts immediatelyImmediately,3 Months,Unpaid,16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Human Resources, Recruitment, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Legal,Triomec Legal,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 2,000 /month",29 Apr' 25,Research and Analytics,N/A
Field Sales,QCT Energy Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 5,200 /month",16 May' 25,"Effective Communication, Field Sales, Hindi Proficiency (Spoken), Interpersonal skills, Sales, Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Interior Design,Auriquant Design Private Limited,Pune,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 13,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, AutoCAD, Autodesk 3ds Max, Autodesk Revit, Enscape, Google SketchUp, Lumion, V-Ray, Certificate, Informal dress code, 5 days a week",N/A
Social Media Marketing,Quadrant Analytics Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"Canva, English Proficiency (Spoken), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),Webdos Technologies,Work from home,Starts immediatelyImmediately,6 Months,"₹ 3,000 - 10,000 /month",16 May' 25,"English Proficiency (Spoken), Certificate",N/A
Client Acquisition,Adbut People Solution,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,English Proficiency (Spoken),N/A
Sales,Camp Sambhar Resort,Work from home,Starts immediatelyImmediately,4 Months,"₹ 15,000 - 17,000 /month",16 May' 25,"Client Relationship Management (CRM), Effective Communication, English Proficiency (Spoken), MS-Excel, MS-PowerPoint, Negotiations, Networking, Problem Solving, Time Management, Certificate, Letter of recommendation",N/A
Human Resources (HR),HexMeta Solutions,Chennai,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation",N/A
Digital Marketing,Wikreate Worldwide Private Limited,Noida,Starts immediatelyImmediately,6 Months,"₹ 12,000 /month",16 May' 25,"Digital Marketing, Social Media Marketing, Certificate, Letter of recommendation",N/A
Graphic Design & Illustrations,GiftdMinds Learning Private Limited,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 25,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Branding, Graphic Design, Visual Design, Letter of recommendation, Free snacks & beverages, Job offer",N/A
Sales Consultant,Seal Impex India Private Limited,Delhi,Starts immediatelyImmediately,3 Months,"₹ 13,000 - 60,000 /month",16 May' 25,"Sales, Letter of recommendation",N/A
Sales Consultant,INNOVEST TECHNOLOGY,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 30,000 - 40,000 /month",16 May' 25,"Effective Communication, Interpersonal skills, Presentation skills, Team Management, Certificate, Letter of recommendation",N/A
Marketing,CodeTentacles Technologies,Pune,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,"Effective Communication, Marketing, Certificate, Informal dress code, 5 days a week",N/A
Architecture,Navoarch,Bhubaneswar,Starts immediatelyImmediately,5 Months,"₹ 3,000 - 4,500 /month",16 May' 25,"AutoCAD, Google SketchUp, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Graphic Design,Festabox,Jaipur,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
Visual Design,Plivo,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 25,000 - 30,000 /month",16 May' 25,"Adobe After Effects, Adobe Photoshop, Adobe XD, Figma, Sketch",N/A
Influencer Marketing,Blavoc,Delhi,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",16 May' 25,"Client Relationship, Effective Communication, Network Management, Process Management, Certificate, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Business Development (Sales),Nexsurg Infosollutions,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Sales & Marketing,AuVIRA VENTURES PRIVATE LIMITED,Pondicherry,Starts immediatelyImmediately,6 Months,"₹ 11,000 - 15,000 /month",16 May' 25,"Data Analysis, Effective Communication, Email Management, Email Marketing, Negotiation, Problem Solving, Certificate, Letter of recommendation",N/A
Social Media & Content Creator,Acoustika India Private Limited,Noida,Starts immediatelyImmediately,3 Months,"₹ 13,000 /month",16 May' 25,"Content Marketing, Influencer Marketing, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Project Coordinator,DeveLearn Technologies,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 12,000 - 15,000 /month",17 May' 25,"Canva, Google Docs, Interpersonal skills, MS-Excel, Certificate, Letter of recommendation, Informal dress code",N/A
Social Media Executive,ElevateX,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 3,000 - 5,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Analytical Thinking, Canva, Content Writing, Digital Marketing, Effective Communication, Facebook Ads, Google AdWords, Management, MS-Office, Planning, Social Media Marketing, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Sales Consultant,Hornback E-Mobility Private Limited,"Hyderabad, Kompally                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 15,000 - 25,000 /month",16 May' 25,"Effective Communication, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Free snacks & beverages",N/A
Educational Consultant,Career Alfa,Kanpur,Starts immediatelyImmediately,3 Months,"₹ 9,000 - 12,000 /month",16 May' 25,"Computer skills, Effective Communication, Certificate, Informal dress code",N/A
Digital Marketing,Erience Solutions,Ahmedabad,Starts immediatelyImmediately,3 Months,"₹ 3,499 - 3,500 /month",16 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),GraffersID,Indore,Starts immediatelyImmediately,3 Months,"₹ 7,000 - 10,000 /month",16 May' 25,"Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Lead Generation, LinkedIn Marketing, Certificate, 5 days a week",N/A
Recruitment,Wroots Global,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",16 May' 25,"Effective Communication, Recruitment, Letter of recommendation, 5 days a week",N/A
Laravel + PHP Development,IThink Logistic Quick Services Private Limited,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"Laravel, PHP, SQL, Informal dress code",N/A
Human Resources (HR),SRF Staffing And Recruitment Industry Federation                                  NGO,Work from home,Starts immediatelyImmediately,3 Months,Unpaid,16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Human Resources, MS-Excel, MS-Office, MS-Word, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Pre Sales,CloudBird Digital Private Limited,Noida,Starts immediatelyImmediately,6 Months,"₹ 15,000 /month",16 May' 25,"English Proficiency (Written), Sales, Certificate, Letter of recommendation",N/A
CRM Systems & Business Tools,Trustico Realty (SwiftTech Pro Private Limited),Mumbai,Starts immediatelyImmediately,3 Months,"₹ 4,000 - 8,001 /month",16 May' 25,"Odoo, Salesforce, Zoho CRM, Certificate, Letter of recommendation, Informal dress code",N/A
Recruitment Consultant,Wroots Global,Bangalore,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",16 May' 25,"Effective Communication, Recruitment, Certificate, Letter of recommendation, Informal dress code, 5 days a week",N/A
Fashion Design And Merchandising,MeghMalhaar,Ahmedabad,Starts immediatelyImmediately,3 Months,"₹ 5,000 /month",16 May' 25,"Creativity, Design Thinking, Effective Communication, Certificate, Letter of recommendation, Informal dress code",N/A
Graphic Design,Filter Holiday,"Delhi, Ghaziabad, Greater Noida, Noida",Starts immediatelyImmediately,3 Months,"₹ 8,000 - 15,000 /month",16 May' 25,"Adobe After Effects, Adobe Photoshop, Video Editing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Social Media Marketing,Cafe Tesu,Delhi,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Digital Marketing,Atclassico Learning,"Delhi, Ghaziabad, Greater Noida, Noida, Greater Noida West                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 4,000 - 9,000 /month",16 May' 25,"Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Graphic Design,Cafe Tesu,Delhi,Starts immediatelyImmediately,2 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Social Media Marketing,Bharatiya Jain Sanghatana                                  NGO,Pune,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",16 May' 25,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Marketing, Instagram Marketing, Social Media Marketing, Certificate, Letter of recommendation",N/A
Videography,Acoustika India Private Limited,Noida,Starts immediatelyImmediately,3 Months,"₹ 12,000 /month",16 May' 25,"Capcut, Video Editing, Video Making, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Lifestyle Photographer,CloudBird Digital Private Limited,Noida,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 15,000 /month",16 May' 25,"Adobe Photoshop, Color Correction, Image Editing, Photography, Certificate, Letter of recommendation",N/A
Business Development (Sales),JSAS Fuelgenie India Private Limited,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 35,000 /month",16 May' 25,"Field Sales, Certificate, Job offer",N/A
Search Engine Optimization (SEO),Stafflink International,"Dehradun, Dehradun Sub-District",Starts immediatelyImmediately,3 Months,"₹ 3,000 - 6,000 /month",16 May' 25,"Search Engine Optimization (SEO), Certificate, Letter of recommendation, Informal dress code",N/A
Sales Consultant,FINECERT,Bangalore,Starts immediatelyImmediately,4 Months,"₹ 13,000 - 17,000 /month",16 May' 25,"Sales Management, Sales Strategy, Sales Support, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Marketing,EzySchooling,Delhi                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 5,000 - 8,000 /month",28 Apr' 25,"Digital Marketing, Email Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Motion Graphics,Renske Technologies Inc,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 25,000 - 30,000 /month",16 May' 25,"Adobe After Effects, Adobe Animate, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Excel Service Station,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 45,000 /month",16 May' 25,"Marketing, Sales, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer",N/A
Front Office,Frankfinn Institute Tamilnadu,Chennai,Starts immediatelyImmediately,5 Months,"₹ 7,000 - 8,000 /month",16 May' 25,Effective Communication,N/A
Football Coaching,Little Kickers India,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 20,000 /month",16 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Research,SpotLet,Hyderabad,Starts immediatelyImmediately,3 Months,"₹ 12,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-PowerPoint, MS-Word, Report Writing, Research and Analytics, Certificate",N/A
Front End Development,PPY Technologies,Work from home,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,500 /month",29 Apr' 25,"JavaScript, Next.js, Node.js, React, Redux, REST API, Letter of recommendation, Flexible work hours, Job offer",N/A
Customer Service/Customer Support,Daalchini Technologies,Noida                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 13,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office",N/A
Campaign Marketing,SecureLayer7 Technologies Pvt.Ltd.,Work from home,Starts immediatelyImmediately,6 Months,"₹ 9,000 - 10,000 /month",16 May' 25,"Digital Marketing, Certificate, 5 days a week",N/A
Business Development (Sales),Arch Store,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 7,500 - 12,500 /month",16 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation",N/A
Business Consultancy (Finance),Scalar Tech Media Private Limited,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 12,000 - 15,000 /month",16 May' 25,"Client Relationship, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Negotiations, Presentation skills, Certificate, Letter of recommendation",N/A
Digital Marketing,Jai Japnaam,Mohali,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",16 May' 25,"Digital Marketing, Facebook Marketing, Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",N/A
Electrical Engineering,3S Structure & MEP Private Limited,"Ahmedabad, Jaipur",Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",16 May' 25,"AutoCAD, Autodesk Revit, Certificate, Informal dress code, Free snacks & beverages, Job offer",N/A
MIS,Zippee,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 15,000 /month",16 May' 25,"Collaboration, Data Analysis, Data Cleaning, Effective Communication, MS-Excel, Operations, Certificate, Informal dress code, Free snacks & beverages, Job offer",N/A
Video Editing/Making,Foresight Systems Ltd.,Delhi,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 10,000 /month",16 May' 25,"DaVinci Resolve, Final Cut Pro, Graphic Design, Video Editing, Video Making, Certificate, Informal dress code",N/A
Marketing & Business Development,Makerble,Work from home,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 15,000 /month",16 May' 25,"Business Development, Marketing, Certificate, Flexible work hours, 5 days a week",N/A
Business Development (Sales),WonderLab,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",16 May' 25,"Client Interaction, Client Relationship Management (CRM), Customer Acquisition, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Lead Generation, Marketing, MS-Excel, Sales, Sales Strategy, Sales Support, Certificate, Letter of recommendation, Flexible work hours, Job offer",N/A
Operations,Multiplast Polymer Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-PowerPoint, Operations, Certificate, Letter of recommendation, Free snacks & beverages",N/A
PowerBI/Tableau Developer,Stakeinsights Consulting Private Limited,"Faridabad, Delhi, Gurgaon, Noida",Starts immediatelyImmediately,3 Months,"₹ 18,000 - 25,000 /month",16 May' 25,"Advanced Excel, Amazon Web Services (AWS), Database Management System (DBMS), DAX, Django, ETL processes, Microsoft Azure, Power BI, Power Query, SQL, Statistical Modeling, Tableau, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Mathematics Expert Doubt Solving,KUNDUZ TECHNOLOGIES PRIVATE LIMITED,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 6,000 /month",16 May' 25,"Mathematics, Flexible work hours",N/A
Creative Manager,Real Time Network Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 /month",16 May' 25,"Content Writing, LinkedIn Marketing, Certificate, Letter of recommendation, 5 days a week",N/A
Marketing,The Profound Project,Work from home,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 36,000 /month",16 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), LinkedIn Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours",N/A
Video Production & AI Editing,AFD India,"Ernakulam, Cochin                                                    (Hybrid)",Starts immediatelyImmediately,2 Months,"₹ 11,000 - 15,000 /month",16 May' 25,"Artificial intelligence, Audio Editing, Audio Making, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Database Building/Management,Indiascope,Delhi,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 10,000 /month",16 May' 25,"MongoDB, React, Certificate, Letter of recommendation, Informal dress code",N/A
B2B - Power Sales,Roms Pizza,"Ghaziabad, Noida",Starts immediatelyImmediately,2 Months,"₹ 21,000 - 25,000 /month",16 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Interpersonal skills, Management, MS-Excel, Certificate, Letter of recommendation",N/A
Event Management,Aarogyautsav Health & Wellness Expo,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 4,500 - 7,000 /month",16 May' 25,"English Proficiency (Spoken), Event Management, Hindi Proficiency (Spoken), Marathi Proficiency(Spoken), Certificate, Letter of recommendation",N/A
Customer Service/Customer Support,Exude,Delhi,Starts immediatelyImmediately,3 Months,"₹ 7,000 - 10,000 /month",16 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Letter of recommendation, Informal dress code",N/A
Content Research,Nex Media,Gurgaon                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",16 May' 25,"Content Writing, Script Writing, Video Making, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week",N/A
